flight_date,destination,flights
2025-10-02,ATL,42
2025-10-02,ORD,37
2025-10-02,MIA,29
2025-10-02,DFW,20
2025-10-02,EWR,20
2025-10-02,DTW,16
2025-10-02,IAH,15
2025-10-02,LAX,15
2025-10-02,PHL,13
2025-10-02,JFK,11
2025-10-02,LGA,10
2025-10-02,SFO,10
2025-10-02,DCA,9
2025-10-02,SEA,9
2025-10-02,LHR,8
2025-10-03,ATL,57
2025-10-03,JFK,26
2025-10-03,EWR,23
2025-10-03,LAX,23
2025-10-03,MIA,20
2025-10-03,LGA,17
2025-10-03,DFW,16
2025-10-03,ORD,16
2025-10-03,PHL,15
2025-10-03,IAD,13
2025-10-03,IAH,12
2025-10-03,SJU,11
2025-10-03,CLT,10
2025-10-03,DTW,10
2025-10-03,RDU,10
2025-10-04,JFK,49
2025-10-04,ATL,48
2025-10-04,LAX,26
2025-10-04,ORD,23
2025-10-04,BOS,16
2025-10-04,EWR,16
2025-10-04,IAH,16
2025-10-04,SEA,16
2025-10-04,DTW,13
2025-10-04,MIA,13
2025-10-04,DFW,12
2025-10-04,SFO,10
2025-10-04,DEN,9
2025-10-04,MEX,7
2025-10-04,MSP,7
2025-10-05,ATL,57
2025-10-05,BOS,35
2025-10-05,EWR,34
2025-10-05,JFK,34
2025-10-05,ORD,19
2025-10-05,DTW,15
2025-10-05,IAH,15
2025-10-05,LAX,15
2025-10-05,PHL,15
2025-10-05,IAD,13
2025-10-05,DFW,12
2025-10-05,LGA,11
2025-10-05,SFO,11
2025-10-05,CLT,9
2025-10-05,MIA,9
2025-10-06,ATL,57
2025-10-06,BOS,46
2025-10-06,ORD,46
2025-10-06,JFK,27
2025-10-06,LAX,22
2025-10-06,MIA,21
2025-10-06,PHL,21
2025-10-06,DFW,17
2025-10-06,DEN,15
2025-10-06,DTW,13
2025-10-06,EWR,13
2025-10-06,IAH,13
2025-10-06,SEA,9
2025-10-06,LHR,8
2025-10-06,AUS,7
2025-10-07,ORD,42
2025-10-07,MIA,28
2025-10-07,EWR,26
2025-10-07,ATL,23
2025-10-07,DFW,23
2025-10-07,JFK,16
2025-10-07,IAH,15
2025-10-07,SEA,12
2025-10-07,LGA,9
2025-10-07,LHR,8
2025-10-07,BOG,7
2025-10-07,DCA,7
2025-10-07,DEN,7
2025-10-07,SLC,7
2025-10-07,BNA,6
2025-10-08,ATL,51
2025-10-08,BOS,38
2025-10-08,ORD,23
2025-10-08,MIA,21
2025-10-08,IAD,16
2025-10-08,JFK,13
2025-10-08,EWR,12
2025-10-08,IAH,11
2025-10-08,SFO,11
2025-10-08,CLT,10
2025-10-08,LAX,10
2025-10-08,PHL,10
2025-10-08,DTW,9
2025-10-08,DEN,8
2025-10-08,SLC,8
