flight_date,origin,flights
2025-09-04,MIA,31
2025-09-04,ORD,30
2025-09-04,ATL,27
2025-09-04,JFK,24
2025-09-04,IAD,19
2025-09-04,PHL,19
2025-09-04,EWR,15
2025-09-04,DFW,14
2025-09-04,BOS,12
2025-09-04,DEN,12
2025-09-04,DTW,11
2025-09-04,LGA,11
2025-09-04,IAH,9
2025-09-04,RDU,9
2025-09-04,SEA,9
2025-09-05,ORD,26
2025-09-05,MIA,20
2025-09-05,ATL,17
2025-09-05,LAX,14
2025-09-05,CLT,13
2025-09-05,JFK,13
2025-09-05,DFW,12
2025-09-05,EWR,11
2025-09-05,LGW,11
2025-09-05,IAH,9
2025-09-05,PHL,8
2025-09-05,BOS,7
2025-09-05,DEN,7
2025-09-05,MAN,7
2025-09-05,IAD,6
2025-09-06,JFK,23
2025-09-06,ATL,19
2025-09-06,MIA,19
2025-09-06,PHL,16
2025-09-06,SJU,13
2025-09-06,BOS,12
2025-09-06,IAH,12
2025-09-06,IAD,11
2025-09-06,DTW,10
2025-09-06,EWR,10
2025-09-06,LGA,10
2025-09-06,LAX,9
2025-09-06,DFW,8
2025-09-06,ORD,7
2025-09-06,RDU,7
2025-09-07,BOS,35
2025-09-07,JFK,34
2025-09-07,ORD,32
2025-09-07,LAX,28
2025-09-07,ATL,25
2025-09-07,EWR,24
2025-09-07,MIA,22
2025-09-07,LGA,17
2025-09-07,DFW,16
2025-09-07,PHL,16
2025-09-07,SJU,10
2025-09-07,CLT,9
2025-09-07,SLC,9
2025-09-07,DTW,8
2025-09-07,IAH,8
2025-09-08,ATL,47
2025-09-08,JFK,28
2025-09-08,LAX,21
2025-09-08,EWR,20
2025-09-08,ORD,18
2025-09-08,PHL,17
2025-09-08,DFW,15
2025-09-08,SFO,15
2025-09-08,BOS,14
2025-09-08,MIA,14
2025-09-08,SEA,13
2025-09-08,MAN,11
2025-09-08,DEN,10
2025-09-08,LGA,10
2025-09-08,CLT,9
2025-09-09,MIA,22
2025-09-09,ORD,18
2025-09-09,ATL,11
2025-09-09,PHL,11
2025-09-09,SEA,11
2025-09-09,BOS,10
2025-09-09,EWR,10
2025-09-09,IAH,8
2025-09-09,DFW,7
2025-09-09,PTY,7
2025-09-09,SJU,7
2025-09-09,DCA,6
2025-09-09,DTW,5
2025-09-09,SFO,5
2025-09-09,DEN,4
2025-09-10,ATL,32
2025-09-10,EWR,30
2025-09-10,JFK,25
2025-09-10,ORD,25
2025-09-10,MIA,20
2025-09-10,PHL,20
2025-09-10,LGA,16
2025-09-10,RDU,13
2025-09-10,MSP,11
2025-09-10,BOS,10
2025-09-10,DFW,10
2025-09-10,IAH,9
2025-09-10,SJU,9
2025-09-10,CVG,8
2025-09-10,DEN,8
